	text	target
993	Штош, пойду праздновать, влюблённых поздравлять	0
161	Честный человек ???????? вот как можно с серьёзным лицом такое говорить и не заржать??	0
668	"""Учения"" значит? Хитро придумано. Теперь уж точно никто не насторожится ))"	0
1593	[id85948775|Денис], потому что путинизм	0
1656	[id1095610|Шура], был бы в городе сказал. Вроде как в даунтауне немного погуляли. Ну так это супербол, билеты по 3-4к это нормально для такого эвента.	0
1190	какой смысль	0
787	Что ж ты фраер сдал назад	0
1132	О походу мне скоро в армию	0
123	Слушая в Германии комментарии на победы наших спортсменов (не Валиевой), постоянно задаю себе вопрос, а зачем это надо: в обстановке всеобщей ненависти и зависти на эти соревнования ездить? Нужно кому-то что-то доказывать? Доказывайте себе внутри страны. Ставьте и фиксируйте новые мировые рекорды. Будете знать, что Вы лучшие. Или нет	0
2102	[id705025767|Александр], володька на чеку	0
693	Первое фото прекрасно иллюстрирует состав митингующих ??	0
918	[id489515390|Василий], пукай дальше недоумок Мацкву уже пропили хачам????????????????	1
2695	Мало негров , смотреть не буду.	0
675	[id18511367|Богдан], Трюдо ноль ... Пустое место .	0
2628	[id461498232|Андрей], им расскажи. что это херня	0
1473	[id172072104|Егор], вот амазон и портит	0
1804	[id247179055|Иван], а может, это 30 летние женщины благодаря развитию медицины, уровня жизни и косметики стали хорошо выглядеть как 15 летние? ????	0
1853	[id4135040|Влад], там и мой есть ?? тысячи? что то на московских протестах тысяч тебе было мало выдавать за мнение всей страны, а учитывая что инстаграмм так же копит ботов ??	0
2863	[id49464409|Анатолий], Это констатация факта. Договорнячок Байдена и Путина работает. Еще не много и киевский режим под давлением США выполнит Минские соглашения-2. И все будут довольны. Россия получит Украины и не расширение НАТО, а Байден обьявит себя миротворцем, тк помог прекратить третью мировую войну и реализовал Минские соглашения-2, что никто не смог сделать 8 лет до него. Все в плюсах, кроме бандер, которых  начнут сажать	0
1258	этим чеченам только бы головы отрезать, похоже больше ничего не могут	0
1979		0
1957	Устали уже в носу ковырять??	0
2492	[id266218813|Кристина], в Москве другой режим пересчёта, разбито по месяцам, даже летом.  Вы написали, что всем подняли.   В Москве оплата отопления 3 к в месяц,  + пересчет у них был 25 к. Это суммарно за год 60 тысяч.  А у вас 7 *5= 25 (ошибся, 35) в год	0
2910	[id140797226|Егор], тебе немцы дох@я компенсации выплатили?	0
1310	[id641294560|Александр], а можно пример, где его оправдывают?	0
692	Молодцы! Фашизм не пройдёт.	0
67	[id1070940|Павел], тогда чего не едешь в КНДР?	0
2738	"[id138280294|Антон], это от сздателей ""Украина скоро развалится"" и ""Украина скоро замерзнет"", ""Украину поделят на части"", ""В Украине распинают руских младенцев"" и тд!)"	0
2233		0
632		0
359	Там уже истеблишмент из страны повалил. Вот и всё что нужно знать	0
2777	Так это план Зеленского по борьбе с олигархами	0
477	В России есть наука?	0
713	[id531160214|Maris], вы еще держались...мне не хватило сил даже на подобный комментарий, как в голове уже звучали строки, что Жанна из тех королев	0
1791	[id153678138|Мария], разберутся постфактум. И судом и с допингоедкой и лишат награт	0
482	[id246285005|Фёдор], а в чем медуза виновата?  Она её создала или заставляла привится или политизировала ковид или наоборот гадости про вакцину писала?	0
1659	[id5018141|Ярослав], пффф, а реклама чипсов типа хуже?))	0
1714	[id172606563|Дмитрий], ну с пловца из США сняли обвинения, тк он в раздевалке, по ошибке вытерся полотенцем курившего марихуану, так что вполне рабочая версия....	0
671		0
2333	[id445628606|Буба], да я в курсе	0
672	Опять Воронеж... Город герой уже	0
1380	[id77961901|Виталий],  Даже мои тапочки смеются.   Алкоголь употребляет бОльшая часть взрослого населения, в большинстве стран мира.	0
1250	[id28394871|Руслан], а разве я написал, что не знаю его?	0
1969	Развели еврейского лоха на подконтрольных жидо-персидским педерастам из спецслужбам СМИ.	1
1761	[id357804729|Антон], возможно кое кто погрозил нефритовым стержнем, но это не точно.	0
286	Финский чекист	0
2665	он дурачок ........ почему они должны уезжать из донбасса в Россию, если их дом там......... может лучше Павловский сыпётся на свою историческую родину ..	1
740	Да пусть лезет куда хочет - не он же джавелином по танковому шлему получит.?????	0
2642	Дай бы Бог. Нужно проявить решимость и одним росчерком пера подарить людям мирное небо над головой	0
2148	[id573289077|Логунов], помню, ты носил кучу других фамилий, тупорылый бот.	1
31	[id483002399|Максим], так ты ещё и не неграмотный, кастрат?	1
1361	[id5320175|Владислав], и ведь многие тут оправдывают его. дескать она же нарушала закон, все должно быть в рамках закона. она должна ответить перед законом. ну короче обычная пупинская риторика	0
136	[id7768238|Дмитрий], не то, что твой хозяин, на киче чалился при СССР еще	0
601	Отечественный Китай спасёт положение))) типикал импортозамещение	0
937	[id174890357|Павел], есть и по 150 ) а у Стерлигова по 500.	0
1624	Пока ниче не понятно. Надо смотреть. Но заранее ничего особенного не жду. Старый фильм невозможно переплюнуть. На чернокожих пофиг: ну хотят люди сниматься в роли толкинских эльфов, ну пускай снимаются, госспади. Если они ок актеры, то все ок.	0
2344	[id651319641|Людмила], хи-хи-ха	0
452	[id706899|Гек], сути моего высказывания выше.  И утверждать близкие могут чо угодно, надо видеть факты, справки...	0
73	Делимханов снова пообещал голову отрезать???	0
1988	[id664517645|Игорь], крым вернули , Шпицберген отдали.	0
549	[id650255842|Вова], а они есть, причем существуют еще с совковых времен. Микрон в Зеленограде. Другое дело, что технологии там явно не поспевают за мировыми трендами. Производственный процесс 65 нм, в то время когда лидеры индустрии осваивают 5 нм, очевидно ни о какой мировой конкуренции не идет и речи, ребята работают чисто на внутренний рынок.	0
2428	15 числа будет суд над жуликом Навальным. Этот ворюга украл деньги которые ему донатили на выборы! Ему грозит до 15 лет лишения свободы. Об этом вы найдете на канале Дмитрия Пучкова с Ильей Ремесло от 9 февраля. Расследования Навального это фальшивка. Когда он звонил якобы отравителю, то записал три дубля! Все есть в эфире доктора Сосновского на Соловьев live от 7 февраля.  Надеюсь вору Навальному дадут все 15!	1
2773	Наши истинные патриоты и герои по-другому поступят, продадут всю недвижку  в странах НАТО на вырученные деньги построят буки или что там у нас гиперзвуковое  есть... своих сыновей вернут на родину и поставят под ружьё защищать РОДИНУ!!!	0
360	Почему СМИ США и Европы знают всё о нападении а наши либеральные СМИ ничего не знают!?....????	0
1514	"[id13834433|Ренат], ты имел в виду ""нет места здравому смыслу""?"	0
468	[id211445208|Nick], не понимаю о чем ты	0
2453	Любовь скоротечна, отношения зачастую на всю жизнь.	0
1816	страшненькая , с возрастом вообще будет страшнючая .	1
920	[id489515390|Василий], дак иди бери) че тут то сидишь? иди давай	0
851	Жанна - соска-бот... вернее соска-бахила:)	1
2018	[id620419423|Эдуард], ботов не спросили, ай ай ай непорядок	0
509	[id920482|Роман], какой агрессивный. Прям набор комплексов налицо	0
1076	[id339758718|Антон], а они и так на наших плечах...	0
2125	[id281782216|Александр], им бандера снится каждую ночь	0
274	Если в РФ запахнет жареным то увидим точно такую же картину. Истинные ,,патриоты,, первыми драпанут на родину. Благо там надёжный тыл и другая ,,стабильность,	0
211	[id157184976|Дмитрий], Да не будет никакого нападения. Войдёт ограниченный контингент и встанет по линии разграничения между Донецком и украишкой. Тем самым прекратив всякие попытки бандеровских головорезов убивать простых жителей Донецка и Луганска. Давно это нужно было сделать. Жаль затянули.	1
545	[id172606563|Дмитрий], ну так отечественный подход, взять бесплатное, поиграться и вуаля, продаем задорого)) Проблема в другом, пока это так рекомендации, спустят вот по закону и прыгай как хочешь)))	0
2880	Вот *уйни-то понаписали! Материала в опросах насобирал, а умишка с материалом разобраться не хватает. Вот и вызвали ассорти из высказываний и своих домыслов на читателя.  Ценность материала нулевая	0
2934	[id267055242|Илья], Путин тоже этим занят в данный момент. Думал просто так что ли усраину xyячат?)	0
1400	[id665269165|Сергей], и на великах тоже не надо	0
1344	Чеченцы нашли безотказный метод делового общения не только с простыми гражданами, но и с российскими чиновниками, так сказать. Это не с диванными экстремистами воевать, тут даже главный стыдливо отмалчивается.  Как говорится, зачем просить, если можно угрожать. Хохлы нам за это ответят, конечно.	1
2341		0
146	[id89027568|Славик], смешно? Смейся! А аргументы твои на уровне дошкольника. Ты не в коррекционной школе учился?????	1
4	Что бы ни делал Леонид Геннадьевич - шедеврально.	0
1499	[id162049882|Дмитрий], с подключением	0
