id	doc	target
0	Леди Демократия ниспровергает Колхозника!!!	0
1	те ни кто не спрашивал холоп, как ты себя чувствуешь дурак ватный!)	1
2	Он думал что она русская, поэтому извиняется	0
3	да. они чисто боятся чтобы не вышло всё это за пределы теперешней зоны конфликта при официальном вводе войск который может быть после признания	0
4	 А кто его боится?	0
5	Когда коту делать нечего...	0
6	Почему бы в бункер не вернуться? Или боится что больше не выпустят?	0
7	политковская чечнка или немцов?	0
8	себя спасай вата!)	1
9	"Не, с такими обращениями только к президенту типа Навального можно обращаться. Путин называет это ""внутриукраинским делом"" и точка."	0
10	Какой-то двойственностью и лицемерностью попахивает от чеченского единороса	0
11	да тоже фигня какая-то. У Толкина все нормально написано, не надо всякий фемобред толерантный туда вплетать	0
12	два раза по 2 недели должно быть если по трудовому договору. Если по ГПХ то можно и вообще без отпуска.  Проверяйте как у вас.	0
13	???	0
14	а что? Срач разводят под этим	0
15	ха у него ядерный чемоданчик вообще-то и судя по всему дед @бнулся и решил развязать третью мировую войну! Как тут не последишь??	1
16	уже по 70-80 р	0
17	ничего хорошего - сначала заплатишь за первичное освидетельствование, на котором будет установлен факт хронического употребления. Остаешься без медсправки и водительского удостоверения несколько месяцев до повторного освидетельствования, за которое опять заплатишь бабло.	0
18	сейчас тебя этот Рембо запугает	0
19	"""Зло не может создать ничего нового, оно может только испортить и разрушить то, что изобрели или создали добрые силы"". - Дж. Р.Р. Толкин."	0
20	отобрать 100 социал поинт и кошка-жена	0
21	скрепненько	0
22	бот, что за методичка такая?	1
23	ты и твоя мать Wлюха.	1
24	И так уже давно на китайском г***е сидим, ещё и его отберут что-ли? Хотелось бы верить, но верится с трудом	0
25	рыжий дeбик - сын вокзальной проститyтки, её любовь к дешёвой синтетике в период беременности имела последствия ???????	1
26	Мы сначала чувствуем мир, а только потом его думаем и называем	0
27	У этого товарища какие-то двинутные понятия о бытовухе, если он способен балончик в лицо на этой почве	0
28	ну так анализ показал что доказано, они давили на то, что если бы отстранили сразу по той пробе то олимпиады не было бы. Значит что несовершеннолетняя и инфу по ней не будут публиковать	0
29	Спасибо  что Навального не забываете. А то Чечню уже забыли в новостях. Год как сидит. ?	0
30	слушай!! Ну ты же прочитал этот набор слов.. и раз уж  позволил  себе высрать эту бливотину значит маломальски понял суть.. опровергни росиянский современный поцреотизм соловьинно зомбоящиковый.. опровергни защитников блэд отечества которые охраняют олигархов как псы режима от народа, а не отечество !! Опровергни )) блесни чешуей ))	1
31	??????	0
32	Пропади, моя тоска,  Вот он я, привет, войска!	0
33	я, к примеру, знаю только Влюблённость и Привычку, Общие дети появились, за период влюблённости, общее жильё, общие взгляды на жизнь выработались,  А у кого нет, те разбежались.	0
34	Потому что деньги. Что вы как первокласники. Вакцина позволяет пилить бабосики. Европа это дело любит и ценит	0
