text	target
Леди Демократия ниспровергает Колхозника!!!	0
[id197393836|Иван], те ни кто не спрашивал холоп, как ты себя чувствуешь дурак ватный!)	1
Он думал что она русская, поэтому извиняется	0
[id560950223|Andrey], да. они чисто боятся чтобы не вышло всё это за пределы теперешней зоны конфликта при официальном вводе войск который может быть после признания	0
[id248753181|Людмила],  А кто его боится?	0
Когда коту делать нечего...	0
Почему бы в бункер не вернуться? Или боится что больше не выпустят?	0
[id695904995|Ярослав], политковская чечнка или немцов?	0
[id560950223|Andrey], себя спасай вата!)	1
"Не, с такими обращениями только к президенту типа Навального можно обращаться. Путин называет это ""внутриукраинским делом"" и точка."	0
Какой-то двойственностью и лицемерностью попахивает от чеченского единороса	0
[id121275714|Степан], да тоже фигня какая-то. У Толкина все нормально написано, не надо всякий фемобред толерантный туда вплетать	0
[id62191090|Эльчин], два раза по 2 недели должно быть если по трудовому договору. Если по ГПХ то можно и вообще без отпуска.  Проверяйте как у вас.	0
[id651319641|Людмила], ???	0
[id4135040|Влад], а что? Срач разводят под этим	0
[id1208056|Maxim], ха у него ядерный чемоданчик вообще-то и судя по всему дед @бнулся и решил развязать третью мировую войну! Как тут не последишь??	1
[id92291503|Дима], уже по 70-80 р	0
[id633650240|Мастурбек], ничего хорошего - сначала заплатишь за первичное освидетельствование, на котором будет установлен факт хронического употребления. Остаешься без медсправки и водительского удостоверения несколько месяцев до повторного освидетельствования, за которое опять заплатишь бабло.	0
[id36551076|Сам], сейчас тебя этот Рембо запугает	0
"""Зло не может создать ничего нового, оно может только испортить и разрушить то, что изобрели или создали добрые силы"". - Дж. Р.Р. Толкин."	0
[id233032740|Даниил], отобрать 100 социал поинт и кошка-жена	0
скрепненько	0
[id138280294|Антон], бот, что за методичка такая?	1
[id713674944|Ivan], ты и твоя мать Wлюха.	1
И так уже давно на китайском г***е сидим, ещё и его отберут что-ли? Хотелось бы верить, но верится с трудом	0
[id138897333|Ромуальд], рыжий дeбик - сын вокзальной проститyтки, её любовь к дешёвой синтетике в период беременности имела последствия ???????	1
Мы сначала чувствуем мир, а только потом его думаем и называем	0
У этого товарища какие-то двинутные понятия о бытовухе, если он способен балончик в лицо на этой почве	0
[id233748241|Илья], ну так анализ показал что доказано, они давили на то, что если бы отстранили сразу по той пробе то олимпиады не было бы. Значит что несовершеннолетняя и инфу по ней не будут публиковать	0
[id431890120|Александр], Спасибо  что Навального не забываете. А то Чечню уже забыли в новостях. Год как сидит. ?	0
[id528048893|Зигизмунд], слушай!! Ну ты же прочитал этот набор слов.. и раз уж  позволил  себе высрать эту бливотину значит маломальски понял суть.. опровергни росиянский современный поцреотизм соловьинно зомбоящиковый.. опровергни защитников блэд отечества которые охраняют олигархов как псы режима от народа, а не отечество !! Опровергни )) блесни чешуей ))	1
[id4181268|Павел], ??????	0
