id	doc	target
6088	"Рафик Соколов не в чем не виноват? Герои войны не могут быть преступниками? Я вас правильно понял? Он дал показания на всех кого мог. Он не был политиком. Для власти он был никем . И опасности не представлял. Только как крупный коррупционер. Дело полностью расследовалось КГБ без привлечения милиции, быстро разрослось и породило каскад уголовных дел вокруг всей системы московской торговли, в результате было привлечено к уголовной ответственности более 15 тыс. человек, а 174 чиновника арестованы по обвинениям во взяточничестве и хищении госимущества.
"	1
713	конечно ботик, конечно	1
2432	крылышки.	0
3341	Ну хоть бы одна падла пароль с Wi-Fi убрала. Жмоты((((	1
5835	"Познер назвал отличие русских от европейцев Телеведущий Владимир Познер считает, что россияне отличаются от западных людей отношением к закону, а именно презрением к нему по достижении высокого социального положения. Мнение журналиста приводится на сайте Познер Online . Источник: РИА Новости В качестве примера Познер привел ситуацию с престижной школой рядом с его домом. После занятий за учениками младших классов приезжают родители на машинах, и останавливаются в местах, где это запрещено. Чтобы не платить штраф, они закрывают номерные знаки бумажками. Причем, вы знаете, теперь ведь в Москве, в центре города, штраф пять тысяч рублей за неправильную стоянку, но для людей, владеющих такими машинами, пять тысяч рублей, это что для многих россиян примерно пять рублей , обращает внимание тележурналист. Аналогичную ситуацию Познер наблюдал у комплекса, в котором он играет в теннис. Почему они стоят? Ну, потому что их хозяева считают себя чрезвычайно важными и поэтому для них закон этот не существует. Для нас с вами существует, а для них нет , приходит к выводу ведущий. Он считает, что отношение, при котором человек, становясь важным господином , начинает презирать общепринятые правила, и отличает россиян от жителей Запада. Это очень характерно для нас и совсем не характерно для них , заключает Познер. По его мнению, именно такие важные люди указывают всем остальным соблюдать закон, в то время как для них его не существует. В октябре 2018 года Познер заявил, что в высоком уровне бедности в России виноваты исключительно власти, которые не задумываются над последствиями происходящего.
"	1
3268	Эй, овца, реши задачу. Какой окружности у тебя будет синяк, если ты ещё раз ему напишешь? (	1
40	возможно кое кто погрозил нефритовым стержнем, но это не точно.	0
2584	вы Виталия Наливкина не знаете? Мне стыдно за вас	0
3257	пиздос красивый гол просрал((((	1
2342	Ну и гадкая семейка эти Навальные . Ждём жёсткого приговора .	1
7856	а че ершик не ушол с ними, то орал понтовался уйду с ними, балабол, и пиздабол, разве это мужик, за свои слова никогда не отвечает💩💩💩	1
5521	"ну он перешагнул ланку в 100к рублей в месяц жеж. так то с таким достатком и нужно заводить личинок. больше можно, меньше нельзя.
"	0
6612	"Стадо украинских свиней? Великие протоукры значит прародители казахстанцев.
"	1
2672	Там президент тамада,так что не удивительно,что у них всё так.	0
4391	и такие идиоты правят нашей страной	1
2518	"""Проект Ковид"" - это антипрививочники?"	0
6753	рыжухи-красотухи,вы просто прелесть!🌻🌻🌻	0
7987	ушак, ишак ну как тебя ещё земля носит , придурок на всю больную голову	1
